"Gene name"	"Log₂FC"	"FDR"	"Coverage Group 1"	"Coverage Group 2"	"Mean Group 1"	"Mean Group 2"
"A1BG"	"-2.1542563438415527"	"0"	"0.4145251512527466"	"0.5055437088012695"	"0.04078269377350807"	"0.16998952627182007"
"A1BG-AS1"	"1.8283944129943848"	"6.93987101385502e-87"	"0.5536313056945801"	"0.20045241713523865"	"0.08761145174503326"	"0.02545560523867607"
"A2M"	"3.9401841163635254"	"0"	"0.889385461807251"	"0.4379023313522339"	"1.8537465333938599"	"0.30064135789871216"
"A2M-AS1"	"-0.0950312614440918"	"0.5658527849839227"	"0.17541898787021637"	"0.21510939300060272"	"0.024762673303484917"	"0.026426641270518303"
"A2ML1-AS1"	"-25.848793029785156"	"0"	"0"	"0.18772605061531067"	"0"	"0.058675725013017654"
"A4GALT"	"2.0818324089050293"	"7.393972948326429e-183"	"0.637988805770874"	"0.20321080088615417"	"0.24760381877422333"	"0.06425560265779495"
"AAAS"	"-0.20225679874420166"	"3.6438854679514936e-9"	"0.7240223288536072"	"0.7473396062850952"	"0.20551539957523346"	"0.23308983445167542"
"AACS"	"-0.7894482612609863"	"1.1650322037575868e-76"	"0.5050279498100281"	"0.6235436201095581"	"0.080062136054039"	"0.13459278643131256"
"AADAT"	"-2.4827933311462402"	"2.118334742324746e-245"	"0.18324021995067596"	"0.5513309240341187"	"0.021894656121730804"	"0.11665897071361542"
"AAGAB"	"0.35411906242370605"	"1.6824662411033962e-17"	"0.694413423538208"	"0.6432674527168274"	"0.1950375735759735"	"0.15570691227912903"
"AAK1"	"-0.039747416973114014"	"0.29286578404981056"	"0.8178771138191223"	"0.8292807936668396"	"0.45668694376945496"	"0.46687600016593933"
"AAMDC"	"-1.583681344985962"	"0"	"0.6648044586181641"	"0.9064609408378601"	"0.2385001927614212"	"0.5918421149253845"
"AAMP"	"0.12167239189147949"	"0.000019893886082241222"	"0.791620135307312"	"0.8495365977287292"	"0.4711568355560303"	"0.4402979016304016"
"AAR2"	"-0.11184287071228027"	"0.004642575037242006"	"0.6307262778282166"	"0.6726062893867493"	"0.1396438479423523"	"0.15009480714797974"
"AARD"	"1.008204460144043"	"6.323805857231106e-28"	"0.3402234613895416"	"0.1851043850183487"	"0.047126565128564835"	"0.02370726689696312"
"AARS1"	"0.3171004056930542"	"6.310708425618368e-16"	"0.7290502786636353"	"0.7517700791358948"	"0.27689287066459656"	"0.2279922068119049"
"AARS2"	"-0.12177419662475586"	"0.12994085851850132"	"0.47430166602134705"	"0.4673347771167755"	"0.06800620257854462"	"0.07377983629703522"
"AARSD1"	"0.11339378356933594"	"0.0584082262954429"	"0.5921787619590759"	"0.5766916871070862"	"0.16117329895496368"	"0.14985767006874084"
"AASDH"	"-1.048440933227539"	"8.62151908110981e-160"	"0.5932961106300354"	"0.7595903277397156"	"0.12264116108417511"	"0.2389131337404251"
"AASDHPPT"	"-0.6173275709152222"	"6.044637005702424e-88"	"0.7335195541381836"	"0.8538444638252258"	"0.2998640537261963"	"0.4294503331184387"
